SiteID,SpecCode,IndividID,d15N,d13C,WtN,WtC,CN,SampType,SampDate,SampYR,fishID,TL_mm,trophic,SpecimenID,Comments
Greenbelt,BNT,98,13,-25.4,14.6,46.7,3.2,M1,8/1/13,2013,0813GBBNT16,310,Fish,98-0813gbbnt16,
Greenbelt,BNT,99,13.6,-25,14.1,45.8,3.3,M1,8/1/13,2013,0813GBBNT39,313,Fish,99-0813gbbnt39,
Private Ranch,BNT,101,9.6,-24.7,14.5,45.9,3.2,M1,8/1/13,2013,0813MMBNT25,320,Fish,101-0813mmbnt25,
Private Ranch,BNT,102,9.7,-25.2,14.6,46.1,3.2,M1,8/1/13,2013,0813MMBNT27,310,Fish,102-0813mmbnt27,
Private Ranch,CSH,104,8.7,-27.5,12.7,42.5,3.4,M1,8/1/13,2013,0813MMCSH01,75,Fish,104-0813mmcsh01,
Private Ranch,FHM,105,8.5,-30.3,13.2,45.5,3.5,M1,8/1/13,2013,0813MMFHM03,55,Fish,105-0813mmfhm03,
Private Ranch,FHM,106,7.8,-28.3,13.5,46.3,3.4,M1,8/1/13,2013,0813MMFHM02,70,Fish,106-0813mmfhm02,
Greenbelt,WHS,107,11.6,-26.9,13.5,45.2,3.4,M1,8/1/13,2013,0813GBWHS03,94,Fish,107-0813gbwhs03,
Private Ranch,FHM,108,9.7,-29.4,13.9,47.5,3.4,M1,8/1/13,2013,0813MMFHM01,69,Fish,108-0813mmfhm01,
Greenbelt,WHS,109,9.9,-27.9,14.1,46.6,3.3,M1,8/1/13,2013,0813GBWHS01,100,Fish,109-0813gbwhs01,
Greenbelt,yoyCRP,110,8.4,-26.8,14.3,47.4,3.3,M1,8/1/13,2013,0813GByoyCRP02,50,Fish,110-0813gbcrpyoy02,
Greenbelt,LND,111,13,-28.3,13.7,47.8,3.5,M1,8/1/13,2013,0813GBLND01,53,Fish,111-0813gblnd01,
Greenbelt,FHM,112,9.6,-29.5,12.2,40.8,3.3,M1,8/1/13,2013,0813GBFHM02,67,Fish,112-0813gbfhm02,
Greenbelt,yoyBNT,113,10,-28.2,14.8,47.2,3.2,M1,8/1/13,2013,0813GByoyBNT03,65,Fish,113-0813gbbntyoy03,
Greenbelt,yoyCRP,114,9,-26.8,14.2,47,3.3,M1,8/1/13,2013,0813GByoyCRP01,61,Fish,114-0813gbcrpyoy01,
Greenbelt,yoyBNT,115,10.2,-27.8,14.7,47.7,3.3,M1,8/1/13,2013,0813GByoyBNT01,80,Fish,115-0813gbbntyoy01,
Greenbelt,yoyBNT,116,10.8,-29.2,14.8,48.7,3.3,M1,8/1/13,2013,0813GByoyBNT02,70,Fish,116-0813gbbntyoy02,
Greenbelt,FHM,117,12.4,-27.8,14.4,49.2,3.4,M1,8/1/13,2013,0813GBFHM01,80,Fish,117-0813gbfhm01,
Greenbelt,FHM,118,11.1,-28.4,14.3,47.9,3.4,M1,8/1/13,2013,0813GBFHM03,60,Fish,118-0813gbfhm03,
Greenbelt,CSH,119,12.9,-26.6,14.5,48.3,3.3,M1,8/1/13,2013,0813GBCSH01,76,Fish,119-0813gbcsh01,
Greenbelt,WHS,120,10.8,-28.2,13.9,47.8,3.4,M1,8/1/13,2013,0813GBWHS02,105,Fish,120-0813gbwhs02,
Private Ranch,CSH,121,9.1,-27,14.1,48.4,3.4,M1,8/1/13,2013,0813MMCSH02,63,Fish,121-0813mmcsh02,
Private Ranch,CSH,122,9.1,-26.9,12.8,43.8,3.4,M1,8/1/13,2013,0813MMCSH03,62,Fish,122-0813mmcsh03,
Private Ranch,JDT,229,9.9,-27.2,14.9,49.8,3.3,M1,8/1/13,2013,0813mmJDT02,54,Fish,229-0813mmjdt02,
Greenbelt,yoyCRP,230,10.8,-27.7,14.3,47.3,3.3,M1,8/1/13,2013,0813GByoyCRP03,65,Fish,230-0813gbcrpyoy03,
Greenbelt,LNS,231,12.7,-29.7,14.9,49.3,3.3,M1,8/1/13,2013,0813GBLNS02,127,Fish,231-0813gblns02,
Greenbelt,IOD,232,11,-27.5,14.3,47.7,3.3,M1,8/1/13,2013,0813GBIOD02,57,Fish,232-0813gbiod02,
Private Ranch,JDT,233,10.4,-27.5,14.9,49.2,3.3,M1,8/1/13,2013,0813mmJDT03,60,Fish,233-0813mmjdt03,
Greenbelt,CKC,234,12.7,-25.4,15,48.5,3.2,M1,8/1/13,2013,0813GBCKC01,98,Fish,234-0813gbckc01,
Private Ranch,IOD,235,9.8,-27.5,13.5,44.6,3.3,M1,8/1/13,2013,0813mmIOD03,48,Fish,235-0813mmiod03,
Greenbelt,LND,236,12.5,-29,14.2,49.5,3.5,M1,8/1/13,2013,0813GBLND03,,Fish,236-0813gblnd03,
Private Ranch,LNS,237,8.2,-29.8,14.7,48.7,3.3,M1,8/1/13,2013,0813mmLNS02,125,Fish,237-0813mmlns02,
Greenbelt,LNS,238,12.5,-28.8,14.2,47.5,3.3,M1,8/1/13,2013,0813GBLNS01,105,Fish,238-0813gblns01,
Private Ranch,IOD,239,10,-27.3,14.8,49.2,3.3,M1,8/1/13,2013,0813mmIOD01,56,Fish,239-0813mmiod01,
Private Ranch,LNS,240,8.5,-29.2,14.8,49.7,3.4,M1,8/1/13,2013,0813mmLNS01,110,Fish,240-0813mmlns01,
Greenbelt,BMN,241,12,-27.6,13.9,46.7,3.4,M1,8/1/13,2013,0813GBBMN01,44,Fish,241-0813gbbmn01,
Greenbelt,CKC,242,11.9,-26.4,14,47,3.4,M1,8/1/13,2013,0813GBCKC02,80,Fish,242-0813gbckc02,
Greenbelt,LND,243,12.3,-28.2,14.7,48.8,3.3,M1,8/1/13,2013,0813GBLND02(TL,72,Fish,243-0813gblnd02,
Greenbelt,CKC,244,13,-25.8,14.4,48.5,3.4,M1,8/1/13,2013,0813GBCKC03,88,Fish,244-0813gbckc03,
Greenbelt,BMN,245,11.6,-30.2,14.5,49.4,3.4,M1,8/1/13,2013,0813GBBMN02,45,Fish,245-0813gbbmn02,
Greenbelt,CSH,246,12,-26.7,13.6,46.2,3.4,M1,8/1/13,2013,0813GBCSH03,60,Fish,246-0813gbcsh03,
Private Ranch,LND,378,8.6,-28.6,14.2,47.8,3.4,M1,8/1/13,2013,0813mmLND03(TL,68,Fish,378,
Private Ranch,yoyBNT,379,8.8,-28.5,14.6,47.4,3.2,M1,8/1/13,2013,0813mmyoy-BNT01,78,Fish,379,
Private Ranch,CKC,380,9,-27,14.8,48.7,3.3,M1,8/1/13,2013,0813mmCKC01,82,Fish,380,
Private Ranch,WHS,381,8.5,-28.9,14.8,48.8,3.3,M1,8/1/13,2013,0813mmWHS02,97,Fish,381,
Private Ranch,LND,382,9.2,-28.6,14,47.3,3.4,M1,8/1/13,2013,0813mmLND02,72,Fish,382,
Private Ranch,CKC,383,8.9,-27.6,14,46.7,3.3,M1,8/1/13,2013,0813mmCKC03,85,Fish,383,
Private Ranch,LND,384,9.1,-29,13.9,47,3.4,M1,8/1/13,2013,0813mmLND01,72,Fish,384,
Private Ranch,yoyBNT,385,9.2,-29.1,14.7,48.3,3.3,M1,8/1/13,2013,0813mmyoy-BNT02,75,Fish,385,
Private Ranch,WHS,386,8,-28.3,14.7,48.6,3.3,M1,8/1/13,2013,0813mmWHS03,80,Fish,386,
Private Ranch,yoy,387,8.9,-27.8,14.7,48,3.3,M1,8/1/13,2013,0813mmyoyBNT03,75,Fish,387,
Private Ranch,BMN,388,7.4,-29.5,9.2,31.1,3.4,M1,8/1/13,2013,0813mmBMN01,55,Fish,388,
Private Ranch,WHS,389,8.6,-27.8,14.3,46.8,3.3,M1,8/1/13,2013,0813mmWHS01,100,Fish,389,
Private Ranch,CKC,390,9,-26.9,13.8,46,3.3,M1,8/1/13,2013,0813mmCKC02,80,Fish,390,
Private Ranch,BNT,391,10.2,-24.7,16,48.3,3,M1,8/1/13,2013,0813mmBNT05,570,Fish,391,
Private Ranch,BNT,392,9.8,-25.6,15.1,49.3,3.3,M1,8/1/13,2013,0813mmBNT11,345,Fish,392,
Private Ranch,BNT,393,9.5,-26.4,14.7,47.5,3.2,M1,8/1/13,2013,0813mmBNT18,195,Fish,393,
Private Ranch,BNT,394,9.1,-26.6,14.9,47.8,3.2,M1,8/1/13,2013,0813mmBNT19,140,Fish,394,
Private Ranch,BNT,395,10.5,-25.8,16.5,50.8,3.1,M1,8/1/13,2013,0813mmBNT01,343,Fish,395,
Private Ranch,BNT,396,10.3,-26.4,13.9,47.3,3.4,M1,8/1/13,2013,0813mmBNT31,240,Fish,396,
Private Ranch,BNT,397,9.3,-25.6,14.3,47.7,3.3,M1,8/1/13,2013,0813mmBNT32,290,Fish,397,
Private Ranch,BNT,398,9.3,-24.8,15.2,48.4,3.2,M1,8/1/13,2013,0813mmBNT29,470,Fish,398,Replcate samples.
Private Ranch,BNT,398,9.7,-24.3,16,48,3,M1,8/1/13,2013,0813mmBNT29,470,Fish,398,Replcate samples.
Private Ranch,BNT,399,9.4,-25.4,15.5,48.3,3.1,M1,8/1/13,2013,0813mmBNT02,,Fish,399,
Private Ranch,BNT,400,9.5,-24.3,15.8,48.9,3.1,M1,8/1/13,2013,0813mmBNT23,,Fish,400,
Private Ranch,BNT,401,9.9,-26.1,14.7,48.5,3.3,M1,8/1/13,2013,0813mmBNT17,,Fish,401,
Private Ranch,BNT,402,9.8,-25.5,14.6,47.8,3.3,M1,8/1/13,2013,0813mmBNT12(TL,416,Fish,402,
Private Ranch,BNT,403,9.6,-25.3,15.3,49.1,3.2,M1,8/1/13,2013,0813mmBNT04,410,Fish,403,
Private Ranch,BNT,404,9.8,-25.4,15.1,47,3.1,M1,8/1/13,2013,0813mmBNT20,,Fish,404,
Private Ranch,BNT,405,9.4,-24.6,16.2,49.2,3,M1,8/1/13,2013,0813mmBNT24,500,Fish,405,Replcate samples.
Private Ranch,BNT,405,9.5,-25.4,15.4,48.7,3.2,M1,8/1/13,2013,0813mmBNT24,500,Fish,405,Replicates outside QAQC tolerance. Use caution.
Private Ranch,BNT,406,10.1,-26,15,47.9,3.2,M1,8/1/13,2013,0813mmBNT14(TL,368,Fish,406,
Private Ranch,BNT,407,9.9,-25.3,15.1,48.3,3.2,M1,8/1/13,2013,0813mmBNT06,330,Fish,407,
Private Ranch,BNT,408,10.4,-25.3,15.2,47.4,3.1,M1,8/1/13,2013,0813mmBNT30,335,Fish,408,
Private Ranch,BNT,409,9.8,-25.8,15.4,49.5,3.2,M1,8/1/13,2013,0813mmBNT13,410,Fish,409,
Private Ranch,BNT,410,9.9,-25.2,14.7,46.5,3.2,M1,8/1/13,2013,0813mmBNT03,360,Fish,410,
Private Ranch,BNT,411,9.8,-25.9,14.6,50.3,3.4,M1,8/1/13,2013,0813mmBNT26,445,Fish,411,
Private Ranch,BNT,412,10.3,-26.2,13.6,46.2,3.4,M1,8/1/13,2013,0813mmBNT22,,Fish,412,
Private Ranch,BNT,413,10.2,-25.3,15.2,48.3,3.2,M1,8/1/13,2013,0813mmBNT15,,Fish,413,
Private Ranch,BNT,414,9.6,-26.1,14.6,49,3.4,M1,8/1/13,2013,0813mmBNT16,,Fish,414,
Private Ranch,BNT,415,9.5,-26,14.5,47.1,3.2,M1,8/1/13,2013,0813mmBNT08,,Fish,415,
Private Ranch,BNT,416,9.6,-26,15.3,48.9,3.2,M1,8/1/13,2013,0813mmBNT07,253,Fish,416,
Private Ranch,BNT,417,10.1,-25.7,14.8,47.1,3.2,M1,8/1/13,2013,0813mmBNT21,445,Fish,417,
Private Ranch,BNT,418,9.4,-24.7,15.7,48.4,3.1,M1,8/1/13,2013,0813mmBNT28,470,Fish,418,
Private Ranch,BNT,419,8.7,-27.4,14.9,50,3.4,M1,8/1/13,2013,0813mmBNT09,,Fish,419,
Greenbelt,BNT,420,12.1,-25.4,15.4,49,3.2,M1,8/1/13,2013,0813GBBNT01,356,Fish,420,
Greenbelt,BNT,421,12.6,-25.1,15.1,47.2,3.1,M1,8/1/13,2013,0813GBBNT03,413,Fish,421,
Greenbelt,BNT,422,11.7,-26.5,14.5,47.8,3.3,M1,8/1/13,2013,0813GBBNT29,140,Fish,422,
Greenbelt,BNT,423,12.3,-26.1,15.1,49,3.3,M1,8/1/13,2013,0813GBBNT30,216,Fish,423,
Greenbelt,BNT,424,11.9,-26.4,14.8,49.6,3.3,M1,8/1/13,2013,0813GBBNT25,195,Fish,424,
Greenbelt,BNT,425,12,-26.2,14.6,49.8,3.4,M1,8/1/13,2013,0813GBBNT33,179,Fish,425,
Greenbelt,BNT,426,13.4,-25.5,14.8,47.7,3.2,M1,8/1/13,2013,0813GBBNT06,304,Fish,426,
Greenbelt,BNT,427,12.7,-26.3,14.2,48.7,3.4,M1,8/1/13,2013,0813GBBNT21,220,Fish,427,Replcate samples.
Greenbelt,BNT,427,12.7,-26.4,14.2,48,3.4,M1,8/1/13,2013,0813GBBNT21,220,Fish,427,Replcate samples.
Greenbelt,BNT,428,11.9,-26.3,14.3,48.1,3.4,M1,8/1/13,2013,0813GBBNT31,185,Fish,428,
Greenbelt,BNT,429,12.9,-26.1,14.1,48.7,3.4,M1,8/1/13,2013,0813GBBNT17,250,Fish,429,
Greenbelt,BNT,430,12,-26.7,14.8,49.3,3.3,M1,8/1/13,2013,0813GBBNT35,170,Fish,430,
Greenbelt,BNT,432,11.3,-26.1,15,49.4,3.3,M1,8/1/13,2013,0813GBBNT26,133,Fish,432,
