SIFID,d15N,d13C,WtN,WtC,CN,Comments,fishID,SampType,Stream,SampYR,SampDate,SiteID,SpecCode,TL_mm,Wt_g,Sex,Source,d13C.norm,trophic
2015_F001,9.818345,-26.5105558,13.211855,45.34752145,3.43233569,NA,2015-LR07-CRP-04,Fish,Laramie,2015,10/9/15,LR07,CRP,83,NA,NA,Maitland,-26.5105558,NA
2015_F002,8.903261,-25.1762286,13.64709989,47.18462418,3.457483609,NA,2015-LR07-SMB-05,Fish,Laramie,2015,10/9/15,LR07,SMB,68,NA,NA,Maitland,-25.1762286,NA
2015_F003,11.030132,-25.048238,13.17674922,45.5271914,3.45511557,NA,2015-LR07-CKC-06,Fish,Laramie,2015,10/9/15,LR07,CKC,66,NA,NA,Maitland,-25.048238,NA
2015_F004,9.027137,-26.1487556,14.06175919,46.67125993,3.319019995,NA,2015-LR07-CRP-10,Fish,Laramie,2015,10/9/15,LR07,CRP,105,NA,NA,Maitland,-26.1487556,NA
2015_F005,11.365796,-23.8953148,14.02681935,47.08696423,3.356923836,NA,2015-LR07-CKC-08,Fish,Laramie,2015,10/9/15,LR07,CKC,133,NA,NA,Maitland,-23.8953148,NA
2015_F006,11.765396,-24.297427,13.74603301,46.26344772,3.36558538,NA,2015-LR07-CKC-10,Fish,Laramie,2015,10/9/15,LR07,CKC,145,NA,NA,Maitland,-24.297427,NA
2015_F007,8.880284,-26.9872452,13.82061076,46.45982081,3.36163297,NA,2015-LR02-WHS-03,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-26.9872452,NA
2015_F008,11.116046,-25.4926778,13.40986323,48.39740419,3.609090068,NA,2015-LR07-RDS-02,Fish,Laramie,2015,10/9/15,LR07,RDS,81,NA,NA,Maitland,-25.23967863,NA
2015_F009,11.011151,-25.0825032,13.85556601,47.9947202,3.463930681,NA,2015-LR07-CKC-05,Fish,Laramie,2015,10/9/15,LR07,CKC,144,NA,NA,Maitland,-25.0825032,NA
2015_F010,9.840323,-27.5999876,13.80353948,46.85584797,3.394480672,NA,2015-LR07-CRP-07,Fish,Laramie,2015,10/9/15,LR07,CRP,111,NA,NA,Maitland,-27.5999876,NA
2015_F011,9.512651,-26.7483966,13.78232783,45.4480323,3.297558502,NA,2015-LR07-WHS-06,Fish,Laramie,2015,10/9/15,LR07,WHS,176,NA,NA,Maitland,-26.7483966,NA
2015_F012,9.290873,-27.3651702,13.33927017,44.87231624,3.363925886,NA,2015-LR07-WHS-05,Fish,Laramie,2015,10/9/15,LR07,WHS,251,NA,NA,Maitland,-27.3651702,NA
2015_F013,11.154008,-24.297427,13.75673999,45.2809848,3.291549076,NA,2015-LR07-CKC-09,Fish,Laramie,2015,10/9/15,LR07,CKC,179,NA,NA,Maitland,-24.297427,NA
2015_F016,9.296867,-27.3561,13.57236261,48.49446058,3.573030132,NA,2015-LR07-RDH-04,Fish,Laramie,2015,10/9/15,LR07,RDH,93,NA,NA,Maitland,-27.13880017,NA
2015_F017,9.176987,-26.2747306,13.89314215,45.48593554,3.273984751,NA,2015-LR07-RDH-01,Fish,Laramie,2015,10/9/15,LR07,RDH,150,NA,NA,Maitland,-26.2747306,NA
2015_F018,10.344818,-26.8915042,13.59729778,47.5030025,3.493561975,NA,2015-LR07-RDH-06,Fish,Laramie,2015,10/9/15,LR07,RDH,97,NA,NA,Maitland,-26.8915042,NA
2015_F019,9.540623,-26.6788584,8.75282201,29.14674459,3.329982554,Weight percent values suspect. Use with caution.,2015-LR07-RDH-02,Fish,Laramie,2015,10/9/15,LR07,RDH,143,NA,NA,Maitland,-26.6788584,NA
2015_F020,9.328835,-27.3389674,13.40809726,46.28216147,3.451806812,NA,2015-LR07-RDH-05,Fish,Laramie,2015,10/9/15,LR07,RDH,119,NA,NA,Maitland,-27.3389674,NA
2015_F023,8.717447,-27.426646,13.31438371,44.96807149,3.377405405,NA,2015-LR07-WHS-02,Fish,Laramie,2015,10/9/15,LR07,WHS,200,NA,NA,Maitland,-27.426646,NA
2015_F024,8.976188,-27.139423,14.30571805,47.57898421,3.325871797,NA,2015-LR07-WHS-01,Fish,Laramie,2015,10/9/15,LR07,WHS,205,NA,NA,Maitland,-27.139423,NA
