d13C,d15N,Region,Pack
-25.4,13,1,1
-25,13.6,1,1
-25.4,12.1,1,1
-25.1,12.6,1,1
-26.1,12.3,1,1
-25.5,13.4,1,1
-26.3,12.7,1,1
-26.4,12.7,1,1
-26.1,12.9,1,1
-25.9,13,1,1
-24.8,13.6,1,1
-25.5,13.3,1,1
-25.7,11.6,1,1
-25.5,12.2,1,1
-25.3,12.7,1,1
-25,13.3,1,1
-25.3,14.1,1,1
-25.3,13.5,1,1
-25.2,14.3,1,1
-26.1,12.7,1,1
-25.1,12.9,1,1
-26,11.9,1,1
-25.3,12.1,1,1
-25.6,12.7,1,1
-25.7,12.4,1,1
-25.5,13.3,1,1
-25.9,13.3,1,1
-25.7,14,1,1
-25.5,14.1,1,1
-25.3,12.7,1,1
-25.5,12.3,1,1
-25.8,12.4,1,1
-25.2,13.9,1,1
-25.3,12.9,1,1
-26.7272112,11.921267,1,1
-26.6462884,11.902247,1,1
